"","date","Noro_G2_norm_PMMoV_trimmed5","marketscan_cases"
"133",2023-05-13,0.0266644724430671,6
"134",2023-05-14,0.0262558799294788,3
"135",2023-05-15,0.0257316666731545,12
"136",2023-05-16,0.0247927455558541,13
"137",2023-05-17,0.0241907157043503,7
"138",2023-05-18,0.0235319414981182,6
"139",2023-05-19,0.0231217818009352,7
"140",2023-05-20,0.0228058892477182,4
"141",2023-05-21,0.0224814000651632,5
"142",2023-05-22,0.0218810196183042,11
"143",2023-05-23,0.0209885482630372,2
"144",2023-05-24,0.0204219852770501,8
"145",2023-05-25,0.0200882297993813,8
"146",2023-05-26,0.0199472499771512,4
"147",2023-05-27,0.0197305621746049,4
"148",2023-05-28,0.0195190397932784,4
"149",2023-05-29,0.0191561851624748,8
"150",2023-05-30,0.0186874000071393,12
"151",2023-05-31,0.0176663971317716,8
"152",2023-06-01,0.0167909501833768,7
"153",2023-06-02,0.0161891951444231,6
"154",2023-06-03,0.0160222009821926,4
"155",2023-06-04,0.0158563972945403,5
"156",2023-06-05,0.0154406129173029,7
"157",2023-06-06,0.0149519912769529,7
"158",2023-06-07,0.014634282372976,8
"159",2023-06-08,0.0145899191581953,5
"160",2023-06-09,0.0144962886242022,2
"161",2023-06-10,0.0143979793730731,8
"162",2023-06-11,0.0143170628781924,4
"163",2023-06-12,0.0145374149097534,8
"164",2023-06-13,0.0145042081027619,8
"165",2023-06-14,0.0145226630867714,8
"166",2023-06-15,0.0139354513783773,4
"167",2023-06-16,0.0133813268611966,4
"168",2023-06-17,0.0133530715622667,2
"169",2023-06-18,0.0133428489360901,1
"170",2023-06-19,0.0133540199355638,5
"171",2023-06-20,0.0133757030684364,10
"172",2023-06-21,0.0134537540047923,4
"173",2023-06-22,0.0130658565270061,4
"174",2023-06-23,0.0127369771876385,9
"175",2023-06-24,0.0124412081150944,3
"176",2023-06-25,0.0121545902023403,6
"177",2023-06-26,0.0119556088960274,11
"178",2023-06-27,0.0116911350915558,6
"179",2023-06-28,0.0113810824339157,9
"180",2023-06-29,0.0112173543706926,6
"181",2023-06-30,0.0109652649961575,4
"182",2023-07-01,0.0107678983049387,2
"183",2023-07-02,0.0105743958701729,4
"184",2023-07-03,0.0103428668219524,5
"185",2023-07-04,0.0101443905264698,1
"186",2023-07-05,0.0100535102653014,4
"187",2023-07-06,0.00983704565934666,6
"188",2023-07-07,0.00962986902816964,9
"189",2023-07-08,0.00938272404112435,3
"190",2023-07-09,0.00919558655361698,4
